id,nama_kost,alamat,lokasi_jabodetabek,harga,AC,Kasur,Lemari,WiFi,"Wc duduk","Kamar mandi dalam",Listrik,"Luas kamar",gender,deskripsi
1455,"Kost Griya Baru","Psr. Pasteur No. 124, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",1550000,0,0,0,0,0,0,0,"29 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Luas kamar di Tangerang Kota, Tangerang"
1456,"Kost Indah Makmur","Kpg. Warga No. 161, Bogor Tengah, Bogor","Bogor Tengah, Bogor",1500000,0,0,0,0,0,0,0,"15 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, Luas kamar di Bogor Tengah, Bogor"
1457,"Kost Bahagia Barokah","Ki. Villa No. 856, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",900000,1,1,0,0,1,0,0,"11 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, AC, Luas kamar, Kasur di Jakarta Selatan, Jakarta"
1458,"Kost Bahagia Abadi","Psr. Wahid No. 324, Sukmajaya, Depok","Sukmajaya, Depok",1200000,0,0,0,0,0,1,0,"24 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, Kamar Mandi Dalam di Sukmajaya, Depok"
1459,"Kost Sejahtera Jaya","Jln. Wora Wari No. 111, Limo, Depok","Limo, Depok",600000,1,0,0,1,1,0,1,"23 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas AC, WiFi, Listrik, Wc duduk di Limo, Depok"
1460,"Kost Nyaman Lestari","Gg. Bagonwoto  No. 954, Pancoran Mas, Depok","Pancoran Mas, Depok",1100000,0,1,1,0,0,1,0,"20 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Kasur, Kamar Mandi Dalam, Luas kamar di Pancoran Mas, Depok"
1461,"Kost Nyaman Selaras","Ki. Bank Dagang Negara No. 552, Bekasi Selatan, Bekasi","Bekasi Selatan, Bekasi",1700000,0,1,1,0,1,0,0,"30 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Kasur, Wc duduk di Bekasi Selatan, Bekasi"
1462,"Kost Indah Utama","Ki. Sugiono No. 386, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",1800000,1,0,1,0,0,0,0,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, Lemari, AC di Jakarta Pusat, Jakarta"
1463,"Kost Harmoni Abadi","Jln. Sukabumi No. 804, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",1550000,1,1,0,0,1,0,0,"10 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Wc duduk, Luas kamar, AC di Jakarta Pusat, Jakarta"
1464,"Kost Harmoni Lestari","Dk. Padang No. 487, Jakarta Barat, Jakarta","Jakarta Barat, Jakarta",1500000,1,1,0,1,0,0,0,"14 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, WiFi, AC, Luas kamar di Jakarta Barat, Jakarta"
1465,"Kost Bahagia Abadi","Dk. Ujung No. 329, Bogor Utara, Bogor","Bogor Utara, Bogor",1600000,1,0,1,0,0,0,0,"25 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, AC, Luas kamar di Bogor Utara, Bogor"
1466,"Kost Wisma Makmur","Ds. Ciwastra No. 288, Bekasi Barat, Bekasi","Bekasi Barat, Bekasi",500000,1,0,0,0,1,1,0,"24 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, AC, Kamar Mandi Dalam, Wc duduk di Bekasi Barat, Bekasi"
1467,"Kost Harmoni Lestari","Jln. Yogyakarta No. 53, Bogor Selatan, Bogor","Bogor Selatan, Bogor",500000,0,0,0,0,0,0,0,"25 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Luas kamar di Bogor Selatan, Bogor"
1468,"Kost Harmoni Asri","Ki. Ters. Pasir Koja No. 280, Bogor Tengah, Bogor","Bogor Tengah, Bogor",1250000,0,0,1,1,0,0,0,"16 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Luas kamar, Lemari di Bogor Tengah, Bogor"
1469,"Kost Harmoni Jaya","Dk. Jaksa No. 696, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",1200000,1,0,0,0,1,1,0,"14 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, AC, Kamar Mandi Dalam di Bekasi Timur, Bekasi"
1470,"Kost Sentosa Abadi","Ds. Nangka No. 34, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",2000000,0,1,0,0,0,0,0,"10 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Dapur Bersama di Jakarta Pusat, Jakarta"
1471,"Kost Sentosa Makmur","Psr. Yogyakarta No. 134, Bogor Barat, Bogor","Bogor Barat, Bogor",1550000,1,0,1,0,0,1,0,"28 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Kamar Mandi Dalam, AC di Bogor Barat, Bogor"
1472,"Kost Indah Jaya","Gg. Abdul No. 980, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",800000,0,0,0,0,1,1,1,"29 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, Wc duduk, Dapur Bersama, Listrik di Jakarta Selatan, Jakarta"
1473,"Kost Sentosa Makmur","Gg. Nanas No. 990, Jakarta Timur, Jakarta","Jakarta Timur, Jakarta",1500000,0,1,0,0,0,1,0,"11 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Luas kamar, Dapur Bersama, Kamar Mandi Dalam, Kasur di Jakarta Timur, Jakarta"
1474,"Kost Asri Baru","Jln. Honggowongso No. 814, Limo, Depok","Limo, Depok",1700000,0,0,1,0,1,0,1,"30 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Listrik, Lemari, Wc duduk di Limo, Depok"
1475,"Kost Sejahtera Barokah","Jln. Antapani Lama No. 939, Bogor Barat, Bogor","Bogor Barat, Bogor",750000,0,0,0,0,0,0,0,"15 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, Luas kamar di Bogor Barat, Bogor"
1476,"Kost Damai Barokah","Kpg. Gardujati No. 513, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",1800000,1,1,1,0,0,1,0,"25 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, Kasur, AC, Lemari di Tangerang Selatan, Tangerang"
1477,"Kost Bahagia Jaya","Psr. Baja Raya No. 128, Jakarta Barat, Jakarta","Jakarta Barat, Jakarta",1900000,0,0,0,1,0,0,0,"14 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, WiFi di Jakarta Barat, Jakarta"
1478,"Kost Nyaman Indah","Dk. Nangka No. 607, Limo, Depok","Limo, Depok",1550000,0,0,0,1,1,1,0,"15 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kamar Mandi Dalam, Wc duduk, WiFi di Limo, Depok"
1479,"Kost Indah Abadi","Dk. Badak No. 899, Beji, Depok","Beji, Depok",2000000,0,1,0,0,0,1,0,"23 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, Kasur, Kamar Mandi Dalam di Beji, Depok"
1480,"Kost Sejahtera Selaras","Ds. Gardujati No. 69, Pancoran Mas, Depok","Pancoran Mas, Depok",1250000,0,0,0,1,0,1,0,"20 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Kamar Mandi Dalam di Pancoran Mas, Depok"
1481,"Kost Griya Jaya","Ki. Bacang No. 557, Bogor Selatan, Bogor","Bogor Selatan, Bogor",2000000,0,1,0,0,0,0,0,"16 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Luas kamar, Kasur di Bogor Selatan, Bogor"
1482,"Kost Griya Asri","Jr. Sugiyopranoto No. 224, Cimanggis, Depok","Cimanggis, Depok",1800000,0,0,0,1,0,0,1,"30 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Listrik, Luas kamar, WiFi di Cimanggis, Depok"
1483,"Kost Wisma Barokah","Jr. Jaksa No. 390, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",1000000,0,1,1,1,1,0,0,"15 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Wc duduk, Kasur, Lemari di Jakarta Selatan, Jakarta"
1484,"Kost Damai Utama","Psr. Sutoyo No. 578, Cimanggis, Depok","Cimanggis, Depok",900000,0,0,1,0,1,0,0,"27 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Wc duduk, Luas kamar, Lemari di Cimanggis, Depok"
1485,"Kost Asri Jaya","Ki. Jend. A. Yani No. 520, Bekasi Utara, Bekasi","Bekasi Utara, Bekasi",2000000,0,1,1,0,0,0,0,"19 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Kasur, Dapur Bersama di Bekasi Utara, Bekasi"
1486,"Kost Nyaman Selaras","Jr. Sutarjo No. 559, Jakarta Timur, Jakarta","Jakarta Timur, Jakarta",1000000,0,1,0,1,0,1,0,"14 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Kamar Mandi Dalam, Kasur, WiFi di Jakarta Timur, Jakarta"
1487,"Kost Nyaman Jaya","Ki. Bah Jaya No. 733, Bekasi Selatan, Bekasi","Bekasi Selatan, Bekasi",900000,0,1,0,0,0,0,0,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, Kasur di Bekasi Selatan, Bekasi"
1488,"Kost Harmoni Indah","Jr. Ekonomi No. 946, Pancoran Mas, Depok","Pancoran Mas, Depok",1100000,1,0,1,1,0,0,0,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, AC, Lemari, Luas kamar di Pancoran Mas, Depok"
1489,"Kost Wisma Utama","Jr. Basket No. 928, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",700000,0,0,0,1,0,0,1,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, WiFi di Jakarta Pusat, Jakarta"
1490,"Kost Sejahtera Makmur","Dk. Gardujati No. 834, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",800000,0,0,0,0,0,1,0,"14 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, Kamar Mandi Dalam di Tangerang Selatan, Tangerang"
1491,"Kost Harmoni Lestari","Gg. Haji No. 6, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",900000,0,0,0,1,1,0,0,"26 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Luas kamar, Wc duduk di Jakarta Selatan, Jakarta"
1492,"Kost Sentosa Baru","Dk. Cut Nyak Dien No. 140, Sukmajaya, Depok","Sukmajaya, Depok",1800000,1,0,1,0,0,0,0,"25 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, AC, Luas kamar di Sukmajaya, Depok"
1493,"Kost Wisma Baru","Jln. Rajawali No. 524, Sukmajaya, Depok","Sukmajaya, Depok",1500000,0,0,0,1,0,0,1,"16 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Luas kamar, Listrik di Sukmajaya, Depok"
1494,"Kost Damai Abadi","Gg. Baranang Siang No. 612, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",1600000,0,1,1,0,1,0,0,"14 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, Kasur, Lemari di Tangerang Utara, Tangerang"
1495,"Kost Sejahtera Utama","Dk. Moch. Toha No. 895, Jakarta Barat, Jakarta","Jakarta Barat, Jakarta",1100000,1,1,1,0,0,0,0,"21 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas AC, Kasur, Dapur Bersama, Lemari di Jakarta Barat, Jakarta"
1496,"Kost Asri Asri","Dk. Batako No. 211, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",1800000,0,1,0,0,0,0,0,"14 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Luas kamar, Kasur di Tangerang Selatan, Tangerang"
1497,"Kost Wisma Utama","Psr. Sudiarto No. 507, Bogor Utara, Bogor","Bogor Utara, Bogor",1250000,1,0,0,1,1,0,1,"18 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, AC, Listrik, Wc duduk di Bogor Utara, Bogor"
1498,"Kost Harmoni Baru","Jln. Salak No. 711, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",750000,0,0,0,1,1,0,1,"18 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Listrik, Wc duduk, WiFi, Dapur Bersama di Tangerang Utara, Tangerang"
1499,"Kost Indah Makmur","Ds. Kyai Gede No. 742, Bogor Selatan, Bogor","Bogor Selatan, Bogor",1200000,0,1,0,0,0,1,0,"16 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, Luas kamar, Kasur, Kamar Mandi Dalam di Bogor Selatan, Bogor"
1500,"Kost Harmoni Asri","Jr. Banal No. 812, Pancoran Mas, Depok","Pancoran Mas, Depok",1250000,0,0,1,0,0,0,1,"27 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Listrik di Pancoran Mas, Depok"
1501,"Kost Indah Lestari","Jln. BKR No. 774, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",1200000,0,0,0,1,0,1,0,"27 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Luas kamar, Kamar Mandi Dalam, WiFi di Tangerang Utara, Tangerang"
1502,"Kost Asri Indah","Jr. Eka No. 900, Bogor Tengah, Bogor","Bogor Tengah, Bogor",1000000,0,0,1,0,1,0,0,"13 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Luas kamar, Wc duduk di Bogor Tengah, Bogor"
1503,"Kost Bahagia Jaya","Jr. Perintis Kemerdekaan No. 919, Pancoran Mas, Depok","Pancoran Mas, Depok",1300000,0,0,0,1,0,1,1,"18 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, Dapur Bersama, Listrik, WiFi di Pancoran Mas, Depok"
1504,"Kost Indah Asri","Psr. Halim No. 671, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",600000,0,1,0,0,0,0,0,"28 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, Dapur Bersama, Luas kamar di Jakarta Pusat, Jakarta"
1505,"Kost Sentosa Jaya","Kpg. Gegerkalong Hilir No. 207, Bogor Barat, Bogor","Bogor Barat, Bogor",800000,0,0,1,1,0,0,1,"22 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Lemari, Listrik di Bogor Barat, Bogor"
1506,"Kost Wisma Barokah","Dk. Dipenogoro No. 507, Bogor Selatan, Bogor","Bogor Selatan, Bogor",1900000,0,1,0,0,0,1,0,"10 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Luas kamar, Kamar Mandi Dalam, Kasur di Bogor Selatan, Bogor"
1507,"Kost Asri Indah","Ds. Dewi Sartika No. 567, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",800000,1,1,0,0,1,0,1,"28 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Wc duduk, AC, Listrik di Bekasi Timur, Bekasi"
1508,"Kost Griya Asri","Kpg. Haji No. 953, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",1200000,0,1,1,0,0,1,0,"25 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Kamar Mandi Dalam, Luas kamar, Lemari di Bekasi Timur, Bekasi"
1509,"Kost Harmoni Indah","Kpg. Supono No. 131, Pancoran Mas, Depok","Pancoran Mas, Depok",1300000,0,1,1,0,1,0,0,"23 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Wc duduk, Dapur Bersama, Kasur di Pancoran Mas, Depok"
1510,"Kost Harmoni Abadi","Ki. Taman No. 532, Beji, Depok","Beji, Depok",1250000,1,0,0,0,1,1,0,"11 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Kamar Mandi Dalam, Wc duduk di Beji, Depok"
1511,"Kost Harmoni Selaras","Dk. Otista No. 148, Pancoran Mas, Depok","Pancoran Mas, Depok",800000,1,0,0,0,1,0,0,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Wc duduk, AC, Dapur Bersama di Pancoran Mas, Depok"
1512,"Kost Griya Selaras","Ds. S. Parman No. 616, Jakarta Timur, Jakarta","Jakarta Timur, Jakarta",1800000,1,0,0,0,0,1,0,"27 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Luas kamar, Dapur Bersama, Kamar Mandi Dalam, AC di Jakarta Timur, Jakarta"
1513,"Kost Harmoni Indah","Jln. Banda No. 830, Cimanggis, Depok","Cimanggis, Depok",1000000,1,0,0,0,0,1,1,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, AC, Listrik di Cimanggis, Depok"
1514,"Kost Harmoni Indah","Jln. Pasir Koja No. 448, Pancoran Mas, Depok","Pancoran Mas, Depok",750000,0,0,1,0,0,1,0,"15 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Kamar Mandi Dalam, Dapur Bersama di Pancoran Mas, Depok"
1515,"Kost Nyaman Jaya","Psr. Padang No. 576, Bekasi Barat, Bekasi","Bekasi Barat, Bekasi",1400000,1,0,0,0,1,0,0,"12 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Wc duduk di Bekasi Barat, Bekasi"
1516,"Kost Asri Baru","Gg. Raya Setiabudhi No. 261, Pancoran Mas, Depok","Pancoran Mas, Depok",1700000,1,0,0,0,0,0,1,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Listrik di Pancoran Mas, Depok"
1517,"Kost Indah Selaras","Psr. Badak No. 680, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",1900000,0,0,0,0,0,1,0,"12 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, Dapur Bersama, Luas kamar di Jakarta Selatan, Jakarta"
1518,"Kost Bahagia Makmur","Ds. Babadak No. 932, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",1900000,0,0,1,0,1,0,0,"14 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, Dapur Bersama, Lemari di Jakarta Selatan, Jakarta"
1519,"Kost Nyaman Indah","Psr. Pasirkoja No. 382, Beji, Depok","Beji, Depok",1000000,0,0,1,0,1,1,0,"15 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, Lemari, Kamar Mandi Dalam di Beji, Depok"
1520,"Kost Asri Selaras","Ki. Muwardi No. 211, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",600000,0,1,0,0,1,1,0,"26 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, Dapur Bersama, Kamar Mandi Dalam, Kasur di Tangerang Selatan, Tangerang"
1521,"Kost Wisma Makmur","Jln. Kiaracondong No. 134, Bekasi Barat, Bekasi","Bekasi Barat, Bekasi",1900000,0,0,0,0,1,1,0,"21 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, Luas kamar, Kamar Mandi Dalam di Bekasi Barat, Bekasi"
1522,"Kost Wisma Abadi","Psr. Kyai Mojo No. 567, Bekasi Utara, Bekasi","Bekasi Utara, Bekasi",600000,1,1,1,0,0,0,0,"30 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas AC, Lemari, Kasur di Bekasi Utara, Bekasi"
1523,"Kost Sentosa Selaras","Psr. Jagakarsa No. 460, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",1800000,1,0,1,0,1,0,0,"10 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, AC, Wc duduk, Lemari di Jakarta Pusat, Jakarta"
1524,"Kost Harmoni Baru","Ki. Industri No. 570, Bekasi Barat, Bekasi","Bekasi Barat, Bekasi",1000000,1,0,0,0,0,0,1,"15 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, AC, Listrik, Luas kamar di Bekasi Barat, Bekasi"
1525,"Kost Sejahtera Utama","Jr. Asia Afrika No. 446, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",1250000,0,0,1,0,0,0,0,"29 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Luas kamar di Tangerang Selatan, Tangerang"
1526,"Kost Damai Jaya","Dk. Wahidin Sudirohusodo No. 965, Bogor Barat, Bogor","Bogor Barat, Bogor",1600000,0,0,1,1,1,0,0,"22 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, Wc duduk, Lemari, WiFi di Bogor Barat, Bogor"
1527,"Kost Asri Makmur","Jr. Urip Sumoharjo No. 687, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",1100000,0,1,1,0,0,0,1,"14 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Listrik, Kasur di Tangerang Kota, Tangerang"
1528,"Kost Bahagia Asri","Gg. Imam Bonjol No. 851, Pancoran Mas, Depok","Pancoran Mas, Depok",1700000,0,0,1,0,1,1,0,"25 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kamar Mandi Dalam, Wc duduk, Lemari di Pancoran Mas, Depok"
1529,"Kost Harmoni Jaya","Dk. Jakarta No. 763, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",1000000,0,1,0,0,1,0,0,"20 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, Kasur di Bekasi Timur, Bekasi"
1530,"Kost Asri Baru","Kpg. Barat No. 814, Bekasi Barat, Bekasi","Bekasi Barat, Bekasi",750000,0,0,0,0,1,0,0,"30 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, Wc duduk di Bekasi Barat, Bekasi"
1531,"Kost Bahagia Abadi","Ds. Perintis Kemerdekaan No. 2, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",1100000,0,0,1,0,1,0,0,"26 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Wc duduk di Tangerang Selatan, Tangerang"
1532,"Kost Harmoni Indah","Ds. Banal No. 417, Bogor Barat, Bogor","Bogor Barat, Bogor",1300000,1,1,1,0,0,0,0,"16 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, Lemari, AC di Bogor Barat, Bogor"
1533,"Kost Nyaman Barokah","Dk. W.R. Supratman No. 432, Jakarta Utara, Jakarta","Jakarta Utara, Jakarta",2000000,0,0,0,1,1,0,0,"25 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Wc duduk di Jakarta Utara, Jakarta"
1534,"Kost Bahagia Barokah","Kpg. Monginsidi No. 393, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",1550000,0,0,0,0,1,1,0,"28 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, Kamar Mandi Dalam di Tangerang Utara, Tangerang"
1535,"Kost Bahagia Utama","Jr. K.H. Maskur No. 359, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",2000000,0,0,0,0,0,1,0,"27 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kamar Mandi Dalam, Dapur Bersama di Tangerang Utara, Tangerang"
1536,"Kost Bahagia Makmur","Jr. Arifin No. 262, Jakarta Timur, Jakarta","Jakarta Timur, Jakarta",800000,0,0,0,0,1,0,0,"17 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Wc duduk di Jakarta Timur, Jakarta"
1537,"Kost Indah Barokah","Kpg. Mahakam No. 961, Bekasi Utara, Bekasi","Bekasi Utara, Bekasi",1900000,0,1,0,1,0,0,0,"13 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, WiFi di Bekasi Utara, Bekasi"
1538,"Kost Indah Barokah","Kpg. Sam Ratulangi No. 90, Sukmajaya, Depok","Sukmajaya, Depok",1900000,1,0,0,0,1,1,0,"18 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Wc duduk, Dapur Bersama, Kamar Mandi Dalam, AC di Sukmajaya, Depok"
1539,"Kost Sejahtera Jaya","Psr. Thamrin No. 986, Limo, Depok","Limo, Depok",1500000,0,0,0,1,0,0,1,"28 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, WiFi di Limo, Depok"
1540,"Kost Damai Barokah","Psr. Juanda No. 357, Beji, Depok","Beji, Depok",1100000,0,0,0,0,0,1,1,"21 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, Listrik di Beji, Depok"
1541,"Kost Wisma Indah","Kpg. Bara Tambar No. 344, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",1550000,0,0,1,0,0,1,0,"28 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Kamar Mandi Dalam di Jakarta Selatan, Jakarta"
1542,"Kost Sejahtera Selaras","Kpg. Babakan No. 837, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",900000,0,1,0,1,0,0,0,"13 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, WiFi di Tangerang Utara, Tangerang"
1543,"Kost Bahagia Makmur","Jln. Bank Dagang Negara No. 290, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",1200000,1,1,1,0,0,0,0,"26 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, Kasur, AC, Lemari di Jakarta Selatan, Jakarta"
1544,"Kost Damai Makmur","Psr. Madrasah No. 38, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",1100000,0,0,0,0,0,0,1,"12 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Listrik di Tangerang Selatan, Tangerang"
1545,"Kost Harmoni Asri","Jr. Zamrud No. 555, Bekasi Selatan, Bekasi","Bekasi Selatan, Bekasi",1500000,0,1,0,0,0,0,1,"19 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kasur, Listrik, Dapur Bersama di Bekasi Selatan, Bekasi"
1546,"Kost Wisma Abadi","Kpg. Sukajadi No. 587, Bogor Selatan, Bogor","Bogor Selatan, Bogor",1300000,0,0,0,1,0,1,0,"27 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Luas kamar, Kamar Mandi Dalam di Bogor Selatan, Bogor"
1547,"Kost Wisma Barokah","Jr. Bhayangkara No. 290, Jakarta Barat, Jakarta","Jakarta Barat, Jakarta",900000,1,1,0,0,0,1,0,"19 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, AC, Luas kamar, Kamar Mandi Dalam di Jakarta Barat, Jakarta"
1548,"Kost Indah Baru","Psr. K.H. Wahid Hasyim (Kopo) No. 551, Pancoran Mas, Depok","Pancoran Mas, Depok",1000000,1,0,1,0,0,1,0,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Kamar Mandi Dalam, AC di Pancoran Mas, Depok"
1549,"Kost Bahagia Selaras","Kpg. Krakatau No. 19, Bekasi Utara, Bekasi","Bekasi Utara, Bekasi",1300000,0,0,0,1,0,0,0,"28 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, WiFi di Bekasi Utara, Bekasi"
1550,"Kost Damai Selaras","Ki. Laswi No. 56, Bekasi Utara, Bekasi","Bekasi Utara, Bekasi",600000,0,0,0,0,1,0,1,"29 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Wc duduk, Luas kamar, Listrik, Dapur Bersama di Bekasi Utara, Bekasi"
